year,survival,lookback
1996,0.667571624007207,4
1997,0.628990120430575,4
1998,0.627581616715836,4
1999,0.648747309462823,4
2000,0.60486440901486,4
2001,0.663176644618029,4
2002,0.682513668824226,4
2003,0.673688755787051,4
2004,0.725984067915044,4
2005,0.686851342967807,4
2006,0.685824233172517,4
2007,0.676516168378295,4
2008,0.654250511680979,4
2009,0.674251301048756,4
2010,0.645378014951995,4
2011,0.648147227854988,4
2012,0.622705638129063,4
2013,0.632392627038889,4
2014,0.662352359321537,4
2015,0.638951862281664,4
2016,0.679055298555502,4
1985,0.485586753744864,5
1986,0.492845392871865,5
1987,0.497288751742377,5
1988,0.532676031208878,5
1989,0.531785593647256,5
1990,0.525352670017409,5
1991,0.558108884495478,5
1992,0.517298129454009,5
1993,0.543422914007587,5
1994,0.548449636453532,5
1995,0.602277900401167,5
1996,0.605346368559226,5
1997,0.648582908707543,5
1998,0.633557158163863,5
1999,0.643897580176935,5
2000,0.616166416656699,5
2001,0.6450669251962,5
2002,0.676375996878783,5
2003,0.680783291433908,5
2004,0.677955823418476,5
2005,0.710656472358558,5
2006,0.694494067722374,5
2007,0.675985291077163,5
2008,0.662405228133618,5
2009,0.669270258865527,5
2010,0.661315405309725,5
2011,0.64584368682314,5
2012,0.619356803934233,5
2013,0.651783951151855,5
2014,0.651796251927949,5
2015,0.640702764686876,5
2016,0.644083260494644,5
1986,0.48503080046129,6
1987,0.504121014388995,6
1988,0.513795649626569,6
1989,0.549284311295105,6
1990,0.502380885255248,6
1991,0.545465909420135,6
1992,0.524498294874115,6
1993,0.552240784847577,6
1994,0.562428982332318,6
1995,0.561124474216841,6
1996,0.612127324871649,6
1997,0.599893315050836,6
1998,0.649123308772455,6
1999,0.646157870806775,6
2000,0.617555124386147,6
2001,0.647784845534176,6
2002,0.659084671983801,6
2003,0.675956961044426,6
2004,0.683156758518952,6
2005,0.673187534537498,6
2006,0.713057888088906,6
2007,0.684849976884603,6
2008,0.664314653756788,6
2009,0.673562564711969,6
2010,0.659320519446872,6
2011,0.659047233476058,6
2012,0.622235590394485,6
2013,0.644146870485698,6
2014,0.664721751207244,6
2015,0.635514274297996,6
2016,0.644687112796824,6
1987,0.495811989248912,7
1988,0.517293746483071,7
1989,0.530728515640808,7
1990,0.521580458723692,7
1991,0.522902488280751,7
1992,0.518462971898301,7
1993,0.553420547294301,7
1994,0.567272004720205,7
1995,0.571296079575327,7
1996,0.575445898932158,7
1997,0.606484570962683,7
1998,0.607312171343147,7
1999,0.657700183808009,7
2000,0.623255724324693,7
2001,0.644458248034063,7
2002,0.659411782732409,7
2003,0.661195687682206,7
2004,0.678680837172961,7
2005,0.678326663035189,7
2006,0.680598596280805,7
2007,0.702139550175597,7
2008,0.673580189780362,7
2009,0.673605310020636,7
2010,0.664421030089344,7
2011,0.657661355855565,7
2012,0.63692550130108,7
2013,0.643072963658562,7
2014,0.656327424914054,7
2015,0.648919270484528,7
2016,0.639670642733506,7
1988,0.508376757973738,8
1989,0.531672742138468,8
1990,0.508807119097608,8
1991,0.537136914687451,8
1992,0.50209534559157,8
1993,0.544524358137941,8
1994,0.56642539437701,8
1995,0.574425337009352,8
1996,0.582555875531419,8
1997,0.575093667504249,8
1998,0.612152163229474,8
1999,0.62004332917792,8
2000,0.636218016511033,8
2001,0.646083382524302,8
2002,0.655047642770031,8
2003,0.661218032624937,8
2004,0.665424238464952,8
2005,0.675013993792918,8
2006,0.684168950998371,8
2007,0.675102462082673,8
2008,0.690117289798012,8
2009,0.680551322008282,8
2010,0.665601124062256,8
2011,0.662331698116642,8
2012,0.638478074905021,8
2013,0.653321964043823,8
2014,0.653865187136766,8
2015,0.643549545068326,8
2016,0.650880468342282,8
1989,0.522148863946239,9
1990,0.512082142266995,9
1991,0.524054339912737,9
1992,0.517060073807434,9
1993,0.527079647394219,9
1994,0.557072687673277,9
1995,0.572877979783273,9
1996,0.584086349255431,9
1997,0.581452783528915,9
1998,0.583619405459,9
1999,0.622930971095237,9
2000,0.605132164317285,9
2001,0.655069013556648,9
2002,0.655315607346246,9
2003,0.65713810267032,9
2004,0.664974261660408,9
2005,0.663637777539136,9
2006,0.680575213009332,9
2007,0.67888679229808,9
2008,0.667420129312922,9
2009,0.694476396220868,9
2010,0.672664710935539,9
2011,0.663612818533974,9
2012,0.644760965909372,9
2013,0.65288020027591,9
2014,0.661776273759419,9
2015,0.642780653693595,9
2016,0.645889468210353,9
1990,0.505469711881136,10
1991,0.525477138683672,10
1992,0.507293440598193,10
1993,0.538049472608232,10
1994,0.540117615050394,10
1995,0.563815285209288,10
1996,0.581727626527352,10
1997,0.582940519080776,10
1998,0.588490036085725,10
1999,0.596173608315234,10
2000,0.609222158528933,10
2001,0.625206646877713,10
2002,0.662479452793163,10
2003,0.657170224798885,10
2004,0.660926701797706,10
2005,0.663411444507628,10
2006,0.669780496459287,10
2007,0.676180643977973,10
2008,0.671594259783763,10
2009,0.673613041142002,10
2010,0.685985938834141,10
2011,0.670168877272757,10
2012,0.647671047505698,10
2013,0.657094589642737,10
2014,0.660533255396738,10
2015,0.6510090849983,10
2016,0.644963473658892,10
1991,0.518248111385921,11
1992,0.51011061214582,11
1993,0.527262587981577,11
1994,0.548904913639845,11
1995,0.547788619412484,11
1996,0.572684299937903,11
1997,0.580900392071128,11
1998,0.589202772718616,11
1999,0.59946016317078,11
2000,0.586143538962231,11
2001,0.627099870473718,11
