year,survival,lookback,kill
2005,0.710656472358558,5,20.1569209631494
2005,0.673187534537498,6,20.1569209631494
2005,0.678326663035189,7,20.1569209631494
2005,0.675013993792918,8,20.1569209631494
2005,0.663637777539136,9,20.1569209631494
2005,0.663411444507628,10,20.1569209631494
2005,0.659873918919061,11,20.1569209631494
2005,0.659672702672137,12,20.1569209631494
2005,0.664848191837004,13,20.1569209631494
2005,0.642819417189168,14,20.1569209631494
2005,0.643033596472141,15,20.1569209631494
2005,0.625053830648583,16,20.1569209631494
2006,0.725064966740645,1,21.0530601087205
2006,0.687205528436628,2,21.0530601087205
2006,0.689811716939144,3,21.0530601087205
2006,0.685824233172517,4,21.0530601087205
2006,0.694494067722374,5,21.0530601087205
2006,0.713057888088906,6,21.0530601087205
2006,0.680598596280805,7,21.0530601087205
